,circuit_id,package_price,tenure_month,pay_first,ipphone,tv_box,mobile,dl_speed,ul_speed,claims,active_status,Churn Risk
79878,5680J5659,700.0,99,1,0,0,0,1000,500,0,1,1
79894,7621J3668,690.0,44,0,1,0,0,500,500,0,1,1
79898,3958J5176,810.0,102,0,0,1,0,1000,500,0,1,1
79989,7333J9803,590.0,77,0,0,0,0,1000,200,0,1,1
80016,3261J6107,700.0,93,0,0,0,0,400,400,0,1,1
80024,3937J8000,590.0,67,0,0,0,0,1000,200,0,1,1
80030,3943J8827,590.0,50,0,0,0,0,1000,200,2,1,1
80032,4420J7491,590.0,89,0,0,0,0,1000,200,0,1,1
80048,3852J6719,590.0,82,0,0,0,0,1000,200,0,1,1
80052,3851J5644,700.0,102,0,0,0,0,1000,500,0,1,1
80082,3475J9639,590.0,62,0,0,0,0,1000,200,0,1,1
80101,3860J2488,590.0,43,0,0,0,0,1000,200,0,1,1
80170,5541J8515,700.0,88,0,0,0,0,1000,500,0,1,1
80226,3261J6271,590.0,96,0,0,0,0,1000,200,0,1,1
80230,2533J2853,700.0,49,0,0,0,0,1000,500,0,1,1
80256,3659J8299,590.0,46,0,0,0,0,250,250,0,1,1
80260,3256J7936,590.0,40,0,0,0,0,1000,200,0,1,1
80288,5628J5763,700.0,97,0,0,0,0,1000,500,1,1,1
80304,7750J8743,590.0,87,0,0,0,0,250,250,1,1,1
80326,3851J6023,700.0,100,0,0,0,0,1000,500,0,1,1
80373,3838J6762,600.0,90,0,0,1,0,500,500,0,1,1
80422,4531J2543,590.0,54,0,0,0,0,150,50,1,1,1
80426,3869J8377,590.0,87,0,0,0,0,250,250,0,1,1
80427,3441J4031,590.0,37,0,0,0,0,1000,200,0,1,1
80485,3247J9975,700.0,43,0,0,0,0,1000,500,0,1,1
80499,3242J4845,590.0,72,0,0,0,0,1000,200,0,1,1
80508,2532J1636,590.0,83,0,0,0,0,1000,300,0,1,1
80517,2250J3129,900.0,49,0,0,0,0,1000,700,0,1,1
80520,2551J9602,590.0,86,0,0,0,0,1000,300,0,1,1
80527,2231J8387,590.0,56,0,0,0,0,500,500,3,1,1
80530,2241J9668,590.0,55,0,0,0,0,1000,300,0,1,1
80541,7750J5268,590.0,111,0,0,0,0,1000,200,0,1,1
80569,7550J8583,590.0,68,0,0,1,0,45,20,0,1,1
80603,5672J7561,590.0,71,0,0,0,0,1000,200,0,1,1
80608,7333J3147,590.0,51,0,0,0,0,1000,200,0,1,1
80617,3837J9482,590.0,82,0,0,0,0,250,250,0,1,1
80625,4271J6679,900.0,92,0,0,0,0,500,500,0,1,1
80630,3840J7258,700.0,95,0,0,0,0,500,500,0,1,1
80633,3867J6822,590.0,96,0,0,0,0,1000,200,0,1,1
80680,3431J0046,700.0,133,0,0,0,0,400,400,0,1,1
80691,3256J6655,590.0,70,0,0,0,0,1000,200,2,1,1
80699,2240J7975,590.0,68,0,0,0,0,1000,300,0,1,1
80703,3442J8252,590.0,91,0,0,0,0,1000,200,5,1,1
80765,3860J2471,590.0,43,0,0,0,0,1000,200,0,1,1
80771,3867J4317,700.0,50,0,0,0,0,1000,500,3,1,1
80773,5671J5498,590.0,105,0,0,0,0,250,250,0,1,1
80788,3242J3919,590.0,78,0,0,0,0,1000,200,0,1,1
80831,7759J1610,700.0,45,0,0,0,0,400,400,0,1,1
80834,3246J8551,700.0,62,0,0,0,0,400,400,1,1,1
80839,5541J5822,590.0,101,0,0,0,0,1000,200,1,1,1
80869,2421J0768,590.0,46,0,0,0,0,250,250,1,1,1
80889,4271J7997,700.0,81,0,0,0,0,400,400,0,1,1
80897,2581J9800,590.0,70,0,0,0,0,1000,300,1,1,1
80903,5371J0431,700.0,110,0,0,0,0,1000,500,2,1,1
80904,3831J2993,700.0,60,0,0,0,0,400,400,0,1,1
80925,2271J6817,590.0,83,0,0,0,0,1000,300,0,1,1
80939,7333J1300,590.0,69,0,0,0,0,1000,200,0,1,1
80962,3937J7297,590.0,73,0,0,0,0,1000,200,0,1,1
80971,7550J5910,590.0,95,0,0,0,0,1000,200,0,1,1
80982,2420J1957,590.0,73,0,0,0,0,1000,300,0,1,1
80989,5628J5136,590.0,108,0,0,0,0,1000,200,0,1,1
80990,5315J1464,590.0,52,0,0,0,0,1000,200,0,1,1
81008,3225J5076,700.0,106,0,0,0,0,1000,500,0,1,1
81026,4460J5643,590.0,100,0,0,0,0,1000,300,0,1,1
81049,3951J2457,590.0,69,0,0,0,0,1000,200,0,1,1
81057,5421J1610,590.0,116,0,0,0,0,1000,200,0,1,1
81063,3442J2053,590.0,72,0,0,0,0,1000,200,1,1,1
81180,7754J5863,700.0,100,0,0,0,0,1000,500,2,1,1
81184,2434J0873,700.0,69,0,0,0,0,1000,500,0,1,1
81186,7333J5561,590.0,110,0,0,0,0,1000,200,0,1,1
81217,3843J0601,590.0,61,0,0,0,0,250,250,3,1,1
81227,3448J6033,590.0,77,0,0,0,0,150,50,0,1,1
81232,7333J6312,700.0,104,0,0,0,0,1000,500,0,1,1
81250,7634J7132,590.0,74,0,0,0,0,100,100,0,1,1
81268,7755J6023,590.0,88,0,0,0,0,250,250,0,1,1
81284,3937J6358,590.0,85,0,0,0,0,1000,200,0,1,1
81297,7544J5411,700.0,101,0,0,0,0,1000,500,0,1,1
81329,3723J7495,590.0,83,0,0,0,0,1000,200,0,1,1
81330,3247J0390,690.0,40,0,0,0,1,1000,200,0,1,1
81352,5651J0281,700.0,120,0,0,1,0,1000,200,0,1,1
81354,3232J1203,590.0,51,0,0,0,0,1000,200,1,1,1
81377,2580J3910,700.0,81,0,0,0,0,400,400,0,1,1
81398,7742J0359,590.0,74,0,0,0,0,1000,200,0,1,1
81422,3448J7469,700.0,58,0,0,0,0,400,400,0,1,1
81446,3843J3663,590.0,37,0,0,0,0,1000,200,1,1,1
81451,7425J0117,590.0,76,0,0,0,0,1000,200,0,1,1
81452,3447J0519,590.0,118,0,0,0,0,1000,200,0,1,1
81482,3867J6212,590.0,98,0,0,0,0,1000,200,0,1,1
81486,3852J7948,590.0,58,0,0,0,0,1000,200,2,1,1
81529,2240J9676,590.0,57,0,0,0,0,1000,300,0,1,1
81539,7727J7032,590.0,96,1,0,0,0,1000,300,1,1,1
81546,3442J1475,590.0,75,0,0,0,0,1000,200,4,1,1
81552,3730J7973,690.0,66,0,0,0,0,100,50,0,1,1
81619,3837J5779,600.0,104,0,0,1,0,500,500,1,1,1
81644,3242J9406,590.0,85,0,0,0,0,1000,200,0,1,1
81645,3261J7522,590.0,83,0,0,0,0,1000,200,0,1,1
81646,3863J2864,700.0,47,0,0,0,0,400,400,2,1,1
81647,3840J5638,590.0,76,0,0,0,0,250,250,0,1,1
81653,3222J6939,590.0,91,0,0,0,0,1000,300,0,1,1
81654,3867J9399,590.0,80,0,0,0,0,1000,300,1,1,1
81705,3823J5033,590.0,37,0,0,0,0,1000,200,1,1,1
81723,3951J5544,690.0,105,0,1,0,0,1000,200,0,1,1
81727,7333J9740,590.0,78,0,0,0,0,1000,200,0,1,1
81774,3952J0782,590.0,43,0,0,0,0,1000,200,0,1,1
81778,5327J7769,590.0,80,0,0,0,0,1000,200,0,1,1
81792,2373J7197,690.0,40,0,1,0,0,1000,200,0,1,1
81813,3842J8026,600.0,72,0,0,1,0,500,500,0,1,1
81815,3838J6247,590.0,95,0,0,0,0,250,250,0,1,1
81840,2526J3350,590.0,87,0,0,0,0,100,100,0,1,1
81843,4231J0032,1200.0,111,0,0,0,0,1000,500,0,1,1
81873,7727J7469,590.0,93,0,0,0,0,1000,300,0,1,1
81878,7468J5170,590.0,114,1,0,0,0,1000,300,0,1,1
81879,3268J8841,590.0,48,0,0,0,0,1000,200,0,1,1
81895,3951J9730,590.0,81,0,0,0,0,1000,200,0,1,1
81896,5329J7188,590.0,81,0,0,0,0,1000,200,0,1,1
81939,3261J1061,590.0,43,0,0,0,0,1000,200,7,1,1
81944,4249J0219,590.0,118,0,1,0,0,150,150,0,1,1
81953,3262J7857,590.0,64,0,0,0,0,1000,200,0,1,1
81955,4281J1079,590.0,116,0,0,0,0,1000,200,9,1,1
81964,3951J7905,590.0,88,0,0,0,0,1000,200,0,1,1
81971,4277J8330,590.0,72,0,0,0,0,1000,300,0,1,1
81988,3951J4892,590.0,49,0,0,0,0,1000,200,0,1,1
82008,7461J9541,590.0,76,0,0,0,0,1000,200,0,1,1
82020,3867J0937,590.0,38,0,0,0,0,1000,200,0,1,1
82050,3837J2105,700.0,70,0,0,0,0,400,400,0,1,1
82065,3251J5475,590.0,74,0,0,0,0,250,250,0,1,1
82081,3951J1735,690.0,72,0,1,0,0,1000,200,0,1,1
82101,3864J7787,590.0,47,1,0,0,0,1000,300,0,1,1
82105,3232J8609,590.0,74,0,0,0,0,1000,200,0,1,1
82107,7742J7745,700.0,89,0,0,0,0,1000,500,0,1,1
82112,3724J6019,590.0,99,0,0,0,0,250,250,0,1,1
82115,3242J7748,590.0,94,0,0,0,0,1000,200,0,1,1
82152,3951J7622,590.0,90,0,0,0,0,1000,200,3,1,1
82171,2428J5431,690.0,47,0,1,0,0,250,250,0,1,1
82190,3860J6513,590.0,100,0,0,0,0,1000,200,1,1,1
82206,3851J7629,590.0,87,0,0,0,0,1000,200,5,1,1
82213,3844J6046,700.0,99,0,0,0,0,400,400,0,1,1
82255,3867J5086,590.0,110,0,0,0,0,1000,200,0,1,1
82257,3232J9551,590.0,60,0,0,0,0,1000,200,5,1,1
82279,7577J6945,590.0,68,0,0,0,0,1000,200,0,1,1
82287,3863J0922,590.0,111,0,0,0,0,300,300,0,1,1
82300,3864J5484,590.0,99,0,0,0,0,300,300,0,1,1
82324,3937J9241,590.0,47,0,0,0,0,300,300,0,1,1
82329,5671J6604,590.0,58,0,0,0,0,100,100,0,1,1
82332,3532J0628,750.0,123,0,0,0,0,80,20,0,1,1
82339,3845J8983,800.0,43,0,1,0,0,400,400,3,1,1
82358,4381J6031,590.0,85,0,0,0,0,1000,300,1,1,1
82374,3475J0683,590.0,48,0,0,0,0,1000,200,0,1,1
82424,3855J6442,590.0,84,0,0,0,0,1000,200,0,1,1
82426,3937J8888,700.0,53,0,0,0,0,1000,500,4,1,1
82445,3851J4875,590.0,70,0,0,0,0,1000,200,0,1,1
82453,5361J5039,590.0,107,0,0,0,0,250,250,0,1,1
82485,3242J8178,590.0,91,0,0,0,0,1000,200,1,1,1
82538,3851J6062,590.0,100,0,0,0,0,1000,200,0,1,1
82542,5334J6092,590.0,89,0,0,0,0,250,250,0,1,1
82547,3222J6075,590.0,100,0,0,0,0,1000,300,0,1,1
82566,7742J8108,590.0,87,0,0,0,0,1000,200,0,1,1
82574,4371J3058,590.0,53,0,0,0,0,1000,200,0,1,1
82576,3867J7516,590.0,91,0,0,0,0,1000,300,0,1,1
82584,2551J1976,590.0,72,0,0,0,0,1000,300,2,1,1
82587,3842J7444,700.0,83,0,0,0,0,1000,500,0,1,1
82602,5671J6410,590.0,56,0,0,0,0,1000,200,0,1,1
82603,2472J1294,690.0,66,0,0,0,0,250,250,0,1,1
82615,3823J8154,590.0,69,0,0,0,0,1000,200,0,1,1
82636,2434J0426,590.0,71,0,0,0,0,1000,300,0,1,1
82660,3471J5551,700.0,102,0,0,0,0,1000,500,0,1,1
82670,2532J4471,700.0,74,0,0,0,0,1000,500,0,1,1
82680,4281J9274,690.0,57,0,1,0,0,1000,200,0,1,1
82685,2472J6139,700.0,91,0,0,0,0,1000,500,1,1,1
82693,4531J9470,590.0,68,0,1,1,0,65,20,0,1,1
82707,3441J0961,590.0,60,0,0,0,0,250,250,0,1,1
82727,3723J7562,700.0,82,0,0,0,0,1000,500,2,1,1
82785,3838J6051,590.0,97,0,0,0,0,250,250,0,1,1
82803,3721J4944,590.0,46,0,0,0,0,250,250,0,1,1
82812,3554J7555,600.0,83,0,0,1,0,500,500,0,1,1
82823,2551J3614,590.0,82,0,0,0,0,1000,300,0,1,1
82866,7741J9124,590.0,41,0,0,0,0,1000,200,1,1,1
82893,3727J8578,590.0,56,0,1,0,0,500,500,2,1,1
82897,3658J5296,590.0,103,0,0,0,0,1000,300,0,1,1
82904,3841J4074,590.0,74,0,0,0,0,250,250,0,1,1
82919,3851J9455,590.0,74,0,0,0,0,1000,200,0,1,1
82923,2387J9392,590.0,59,0,0,0,0,1000,300,0,1,1
82927,3242J9897,590.0,83,0,0,0,0,1000,200,0,1,1
82930,3867J1617,700.0,72,0,0,0,0,1000,500,0,1,1
82936,2457J4750,590.0,60,0,1,0,0,150,150,0,1,1
82947,4231J2954,590.0,70,0,0,0,0,300,300,2,1,1
82989,3261J7770,590.0,81,0,0,0,0,1000,200,2,1,1
82992,3475J8759,590.0,76,0,0,0,0,1000,200,0,1,1
83000,5500J0945,700.0,114,0,0,0,0,1000,500,1,1,1
83002,3867J0339,700.0,114,0,0,0,0,1000,500,0,1,1
83018,3938J9327,700.0,50,0,0,0,0,1000,500,12,1,1
83030,7750J4615,590.0,49,0,0,0,0,150,50,1,1,1
83045,3841J7537,700.0,94,0,0,0,0,1000,500,0,1,1
83050,2583J8257,590.0,37,0,0,0,0,1000,300,0,1,1
83067,4451J0591,800.0,112,0,1,0,0,200,200,0,1,1
83073,3240J0109,590.0,54,0,0,0,0,1000,200,0,1,1
83076,7754J9183,620.0,60,0,0,0,0,1000,300,0,1,1
83078,3837J8856,700.0,86,0,0,0,0,400,400,0,1,1
83079,7333J6833,700.0,101,0,0,0,0,1000,500,0,1,1
83110,3536J5825,590.0,86,0,0,0,0,1000,300,0,1,1
83117,3261J6547,590.0,93,0,0,0,0,1000,200,1,1,1
83138,2511J4115,690.0,58,0,1,0,0,250,250,0,1,1
83142,3852J7416,590.0,69,0,0,0,0,1000,200,0,1,1
83161,7365J0024,700.0,117,0,0,0,0,1000,500,0,1,1
83171,3931J0197,600.0,126,0,0,1,0,500,500,0,1,1
83174,3267J7753,590.0,68,0,0,0,0,250,250,3,1,1
83179,3851J8210,590.0,81,0,0,0,0,1000,200,0,1,1
83192,7351J1057,690.0,57,0,1,0,0,250,250,1,1,1
83209,3247J7183,590.0,84,0,0,0,0,1000,200,2,1,1
83229,4231J7489,700.0,88,0,0,0,0,1000,500,0,1,1
83244,2241J1781,590.0,40,0,0,0,0,1000,300,3,1,1
83261,5673J6719,690.0,70,0,0,0,0,500,500,3,1,1
83262,2387J5953,590.0,87,0,0,0,0,1000,300,0,1,1
83272,3847J9374,590.0,74,0,0,0,0,100,100,0,1,1
83298,3448J5495,590.0,93,0,0,0,0,1000,200,0,1,1
83325,7538J7140,590.0,47,0,0,0,0,1000,200,12,1,1
83326,4231J5871,700.0,102,0,0,1,0,1000,200,0,1,1
83333,7750J0426,700.0,123,0,0,0,0,400,400,0,1,1
83336,2241J6274,590.0,84,0,0,0,0,1000,300,0,1,1
83414,2323J5577,590.0,89,0,0,0,0,1000,300,2,1,1
83420,3841J9206,590.0,86,0,0,0,0,250,250,0,1,1
83423,7759J8489,700.0,73,0,0,0,0,400,400,1,1,1
83468,3831J7537,590.0,96,0,0,0,0,1000,200,0,1,1
83473,3431J2524,590.0,55,0,0,0,0,1000,200,0,1,1
83479,3938J6708,700.0,78,0,0,0,0,1000,500,2,1,1
83487,2224J8110,690.0,47,0,0,0,0,250,250,0,1,1
83498,3852J7091,590.0,76,0,0,0,0,1000,200,0,1,1
83526,3847J6780,590.0,92,0,0,0,0,250,250,0,1,1
83541,5331J8153,590.0,85,0,0,0,0,1000,200,0,1,1
83544,4271J7796,590.0,83,0,0,0,0,250,250,0,1,1
83560,2250J1795,590.0,53,0,1,0,0,500,500,0,1,1
83561,7750J8868,590.0,87,0,0,0,0,250,250,0,1,1
83601,2568J0480,600.0,71,0,0,1,0,500,500,0,1,1
83626,3261J5242,590.0,105,0,0,0,0,1000,200,0,1,1
83632,2428J6386,700.0,46,0,0,0,0,1000,500,0,1,1
83664,5327J8310,590.0,75,0,0,0,0,1000,200,0,1,1
83667,5378J6091,590.0,87,0,0,0,0,250,250,0,1,1
83673,7461J8077,700.0,87,0,0,0,0,1000,500,0,1,1
83710,3944J8836,590.0,54,0,0,0,0,1000,200,0,1,1
83720,4460J6477,700.0,84,0,0,0,0,1000,500,0,1,1
83724,3851J0392,590.0,118,0,0,0,0,1000,200,2,1,1
83735,3727J6967,590.0,80,0,0,0,0,1000,300,0,1,1
83748,3268J8322,590.0,58,0,0,0,0,1000,200,0,1,1
83767,7526J6383,560.0,76,0,1,0,0,500,500,0,1,1
83778,5331J8030,590.0,86,0,0,0,0,1000,200,1,1,1
83789,2323J7519,590.0,74,0,0,0,0,1000,300,0,1,1
83809,3442J9951,590.0,84,0,0,0,0,1000,200,0,1,1
83853,4561J6836,590.0,79,0,0,0,0,1000,300,0,1,1
83884,3841J4434,700.0,65,0,0,0,0,400,400,2,1,1
83891,3837J8255,700.0,90,0,0,0,0,1000,500,0,1,1
83905,3723J6060,590.0,100,0,0,0,0,100,100,0,1,1
83913,3242J6860,590.0,98,0,0,0,0,1000,200,0,1,1
83925,2240J6830,590.0,80,0,0,0,0,1000,300,0,1,1
83929,3724J7505,590.0,86,0,0,0,0,250,250,0,1,1
83937,3955J5175,700.0,104,0,0,0,0,400,400,0,1,1
83939,4371J7185,700.0,84,0,0,0,0,1000,500,4,1,1
83947,3267J5722,590.0,93,0,0,0,0,1000,200,0,1,1
83954,3738J7966,590.0,60,0,0,0,0,1000,200,0,1,1
83961,2531J7997,700.0,97,0,0,0,0,150,50,0,1,1
83968,5377J7798,900.0,65,0,0,0,0,1000,700,0,1,1
84010,4468J9349,700.0,44,0,0,0,0,1000,500,1,1,1
84013,2271J7987,590.0,70,0,0,0,0,1000,300,2,1,1
84046,5641J0104,700.0,130,0,0,0,0,400,400,0,1,1
84057,3951J1609,590.0,74,0,0,0,0,1000,200,0,1,1
84062,5671J8839,590.0,71,0,0,0,0,100,100,0,1,1
84081,3247J7758,590.0,77,0,0,0,0,1000,200,9,1,1
84093,5564J5068,600.0,105,0,0,1,0,500,500,1,1,1
84098,3442J2950,590.0,68,0,0,0,0,1000,200,3,1,1
84102,4282J5508,600.0,93,0,0,1,0,500,500,0,1,1
84125,5448J0947,590.0,65,1,0,0,0,1000,300,0,1,1
84133,3951J0712,590.0,79,1,0,0,0,1000,300,1,1,1
84138,3721J8496,590.0,79,1,0,0,0,1000,300,0,1,1
84142,4277J7714,590.0,77,0,0,0,0,250,250,0,1,1
84238,3441J2089,590.0,50,0,0,0,0,1000,200,0,1,1
84248,3555J6412,590.0,84,0,0,0,0,1000,200,1,1,1
84253,3441J1096,590.0,58,0,0,0,0,1000,200,0,1,1
84275,3840J3003,590.0,87,0,0,0,0,250,250,0,1,1
84276,2433J9971,700.0,43,0,0,0,0,400,400,0,1,1
84288,7750J0990,590.0,116,0,0,0,0,250,250,8,1,1
84301,2240J1164,700.0,38,0,0,0,0,1000,500,0,1,1
84318,2532J0422,590.0,86,1,0,0,0,1000,300,0,1,1
84364,2323J5490,590.0,91,0,0,0,0,1000,300,0,1,1
84403,3938J6220,700.0,86,0,0,0,0,1000,500,0,1,1
84409,2271J6426,590.0,86,0,0,0,0,1000,300,0,1,1
84430,7577J6781,590.0,70,0,0,0,0,1000,200,0,1,1
84460,3247J5408,700.0,104,0,0,0,0,1000,500,0,1,1
84467,3845J8250,590.0,60,0,0,0,0,250,250,0,1,1
84484,4281J9312,590.0,57,0,0,0,0,150,50,0,1,1
84493,5421J1348,590.0,117,0,0,0,0,1000,200,0,1,1
84515,3247J6989,590.0,86,0,0,0,0,1000,200,0,1,1
84519,5653J7164,590.0,71,0,0,0,0,150,50,2,1,1
84531,7742J5712,700.0,100,0,0,0,0,1000,500,0,1,1
84541,3937J8955,700.0,52,0,0,0,0,1000,500,0,1,1
84544,3951J0217,700.0,113,0,0,0,0,1000,500,0,1,1
84558,5360J7379,590.0,88,0,0,0,0,1000,200,0,1,1
84567,5360J7692,700.0,44,0,0,0,0,1000,500,1,1,1
84595,3225J6726,590.0,60,0,0,0,0,1000,200,1,1,1
84599,3242J4568,590.0,74,0,0,0,0,1000,200,0,1,1
84610,5500J6141,590.0,96,0,0,0,0,1000,200,0,1,1
84611,3851J9055,700.0,76,0,0,0,0,1000,500,5,1,1
84680,3225J6648,590.0,62,0,0,0,0,1000,200,1,1,1
84683,2427J6737,700.0,95,0,0,1,0,250,250,0,1,1
84687,7631J0493,590.0,37,0,0,0,0,1000,200,0,1,1
84690,5327J9899,810.0,57,0,0,1,0,200,200,0,1,1
84695,7537J5993,590.0,80,0,0,0,0,1000,200,0,1,1
84715,2271J1333,590.0,42,0,0,0,0,1000,300,1,1,1
84721,3728J9137,590.0,72,0,0,0,0,1000,200,2,1,1
84725,3262J9083,590.0,48,0,0,0,0,1000,200,0,1,1
84738,3552J5396,700.0,105,0,0,0,0,1000,500,0,1,1
84747,2250J5832,900.0,91,0,0,0,0,1000,700,0,1,1
84789,5448J7777,590.0,76,0,0,0,0,1000,300,0,1,1
84818,3851J9564,590.0,74,0,0,0,0,1000,200,2,1,1
84830,3869J9135,690.0,81,0,1,0,0,250,250,0,1,1
84845,3837J9461,700.0,82,0,0,0,0,400,400,0,1,1
84852,3838J7859,590.0,81,0,0,0,0,250,250,0,1,1
84861,2323J8989,590.0,52,0,0,0,0,1000,300,1,1,1
84868,3442J9287,700.0,87,0,0,0,0,1000,500,1,1,1
84877,5421J2052,590.0,114,0,0,0,0,1000,200,0,1,1
84913,4481J5998,590.0,88,0,0,0,0,1000,200,0,1,1
84956,3863J3263,700.0,42,0,0,0,0,1000,500,1,1,1
84972,3851J2872,690.0,56,0,1,0,0,1000,200,0,1,1
84973,4277J6527,590.0,87,0,0,0,0,250,250,1,1,1
84991,3840J5674,590.0,46,0,0,0,0,500,500,1,1,1
84995,5331J2321,590.0,48,0,0,0,0,1000,200,1,1,1
85007,3532J7758,590.0,74,0,0,0,0,100,100,0,1,1
85025,3852J8215,590.0,51,0,0,0,0,1000,200,10,1,1
85046,3851J2372,590.0,60,0,0,0,0,1000,200,0,1,1
85060,5651J5849,700.0,90,0,0,1,0,1000,200,0,1,1
85064,3441J0357,590.0,63,0,0,0,0,1000,200,0,1,1
85073,2551J9723,590.0,86,0,0,0,0,1000,300,1,1,1
85083,5478J5213,590.0,104,0,0,0,0,1000,200,5,1,1
85119,5422J1132,590.0,69,0,0,0,0,1000,200,0,1,1
85136,3242J5950,700.0,104,0,0,0,0,1000,500,0,1,1
85226,3441J0362,590.0,65,0,0,0,0,1000,200,0,1,1
85227,3728J5503,590.0,106,1,0,0,0,1000,300,0,1,1
85272,2433J7626,700.0,91,0,0,0,0,1000,500,0,1,1
85288,3958J5274,700.0,99,0,0,1,0,1000,200,0,1,1
85296,3222J5903,700.0,102,0,0,0,0,1000,500,0,1,1
85303,2531J5015,590.0,106,0,0,0,0,1000,300,1,1,1
85306,2271J7603,590.0,76,0,0,0,0,1000,300,0,1,1
85316,7550J1567,590.0,41,0,0,0,0,1000,200,1,1,1
85333,3552J6170,700.0,93,0,0,0,0,1000,500,0,1,1
85357,3721J1757,590.0,57,0,0,0,0,250,250,2,1,1
85358,3852J7901,590.0,59,0,0,0,0,1000,200,0,1,1
85377,2517J6501,700.0,43,0,0,1,0,250,250,2,1,1
85389,3723J9201,590.0,69,0,0,0,0,1000,200,0,1,1
85392,7632J5932,570.0,79,0,0,1,0,500,500,0,1,1
85406,2552J3726,700.0,44,0,0,0,0,1000,500,0,1,1
85415,5553J9261,590.0,75,0,0,0,0,1000,200,5,1,1
85436,3867J5090,700.0,110,0,0,0,0,1000,500,0,1,1
85455,2387J6620,590.0,79,0,0,0,0,1000,300,0,1,1
85469,3863J9901,590.0,68,0,0,0,0,1000,200,0,1,1
85478,2434J6519,590.0,56,0,0,0,0,1000,300,0,1,1
85487,3852J7905,700.0,59,0,0,0,0,1000,500,0,1,1
85494,7734J7228,590.0,74,0,1,0,0,500,500,0,1,1
85500,7534J8293,590.0,82,0,0,1,0,45,20,0,1,1
85543,3867J7436,590.0,40,0,0,0,0,1000,200,0,1,1
85574,3851J0575,700.0,117,0,0,0,0,1000,500,0,1,1
85576,3840J7072,700.0,92,0,0,0,0,1000,500,3,1,1
85581,3837J5754,1200.0,104,0,0,0,0,1000,500,0,1,1
85603,3840J2904,590.0,59,1,0,0,0,1000,300,0,1,1
85616,3951J8593,700.0,85,0,0,0,0,1000,500,0,1,1
85618,3268J8240,590.0,60,0,0,0,0,1000,200,0,1,1
85657,3225J6537,590.0,66,0,0,0,0,1000,200,0,1,1
85662,3644J5030,590.0,113,0,0,0,0,500,500,0,1,1
85671,7727J9935,700.0,76,0,0,0,0,1000,500,0,1,1
85699,3867J9938,700.0,77,0,0,0,0,1000,500,0,1,1
85745,3823J9136,590.0,54,0,0,0,0,1000,200,1,1,1
85749,3269J5521,700.0,102,0,0,0,0,1000,500,1,1,1
85754,3247J5400,590.0,104,0,0,0,0,250,250,0,1,1
85778,3552J7160,590.0,79,0,0,0,0,1000,200,6,1,1
85799,3537J5613,590.0,79,0,0,0,0,250,250,0,1,1
85804,3854J6059,590.0,88,0,0,0,0,1000,200,0,1,1
85809,7621J0335,800.0,37,0,1,0,0,1000,500,1,1,1
85813,2275J5871,700.0,94,0,0,0,0,1000,500,3,1,1
85828,3823J5588,700.0,95,0,0,0,0,1000,500,0,1,1
85852,3837J6903,590.0,97,0,0,0,0,1000,200,0,1,1
85860,2431J4120,590.0,50,0,0,0,0,1000,200,0,1,1
